company_name,industry_type
포스코,"자동차·조선·철강·항공,화력 발전업,컨설팅·연구·조사,제철업,사업시설 유지.관리 서비스업,기타 엔지니어링 서비스업,도금, 착색 및 기타 표면처리강재 제조업,통신.방송장비 및 부품 도매업"
국제자산신탁,
라이엇게임즈,
아츠플레이,
흥국생명,"임시 및 일용 인력 공급업,생명 보험업"
해태음료,"백화점·유통·도소매,무역·상사"
CJ 헬스케어,"의료용품 도매업,의료기기 도매업"
두산건설,"종합 건설업,기타 기관 및 터빈 제조업,부동산·중개·임대,건설ㆍ광업용 기계 및 장비 도매업"
AIA생명,"생명 보험업,은행·금융,콜센터 및 텔레마케팅 서비스업"
GS건설,"건설·시공·토목·조경,주거용 건물 건설업,토목시설물 건설업"
CJ 올리브네트웍스,솔루션·SI·CRM·ERP
한국남동발전,화력 발전업
신한아이타스,그 외 기타 분류 안된 사업지원 서비스업
메가박스,"영화관 운영업,영화·음반·배급,스포츠·여가·레저,문화·공연·예술"
LS전선,"기타 절연선 및 케이블 제조업,전기·전자·제어,컴퓨터 및 주변장치, 소프트웨어 도매업"
한솔케미칼,기타 기초 무기 화학물질 제조업
만도,"자동차용 신품 조향장치 및 현가 장치 제조업,기타 자동차 신품 부품 및 내장품 판매업,자동차·조선·철강·항공,자동차용 신품 전기장치 제조업,자동차 전문 수리업,시설물 유지관리 공사업,생활용품·소비재·기타"
현대글로비스,"화물운송 중개, 대리 및 관련 서비스업,"
삼양그룹,"설탕 제조업,,토목시설물 건설업,화학·에너지·환경"
한국전력,"화력 발전업,그 외 기타 전자부품 제조업,일반전기 공사업,컴퓨터·하드웨어·장비,기타 엔지니어링 서비스업,송전 및 배전업"
한화L&C,
동부하이텍,비메모리용 및 기타 전자집적회로 제조업
옥봉화학,
새마을금고,"신용조합,국내은행,금융리스업"
조광페인트,"일반용 도료 및 관련제품 제조업,도료 도매업"
태평양,"토목시설물 건설업,단추 및 유사 파스너 제조업,,그 외 기타 봉제의복 제조업,기계·기계설비,비누 및 세정제 도매업,단독 주택 건설업,기타 가공식품 도매업"
커피빈코리아,"기타 비전기식 생활용 기기 및 기구 도매업,,커피 전문점,커피 및 차류 도매업,커피 가공업,기타 중고 상품 소매업,빵류, 과자류, 당류, 초콜릿 도매업"
NH개발,"인삼식품 제조업,응용 소프트웨어 개발 및 공급업,기타 부동산 개발 및 공급업,식품가공"
인천국제공항공사,"시설관리·보안·경비,호텔업,,음식료·외식·프랜차이즈,공항 운영업,호텔·여행·항공,사업시설 유지.관리 서비스업,침구 및 관련제품 제조업"
삼성전자,"플라스틱 필름 제조업,인쇄업,이동전화기 제조업,쇼핑몰·오픈마켓·소셜커머스,컴퓨터 및 주변장치, 소프트웨어 도매업,백화점·유통·도소매,가전제품 및 부품 도매업"
중부도시가스,
현대BNG스틸,
매일테크,
인터믹스,
한솔섬유,"섬유·의류·패션,편조의복 제조업"
인천YMCA,
농협,"생명 보험업,배합 사료 제조업,상용 인력 공급 및 인사관리 서비스업,과실류 도매업,그 외 기타 분류 안된 금융업,손해 보험업,응용 소프트웨어 개발 및 공급업"
NC소프트,"유선 온라인 게임 소프트웨어 개발 및 공급업,게임·애니메이션,솔루션·SI·CRM·ERP,경영 컨설팅업"
국민건강보험공단 합격 자소서,
엠트론,"전기용 기계.장비 및 관련 기자재 도매업,금속·재료·자재,기계·기계설비,공구 소매업,자동차·조선·철강·항공,물류·운송·배송"
한국저작권위원회,"공기업·공공기관,산업 단체"
트라이텍코리아,제품 디자인업
클립서비스,"음악 및 기타 오디오물 출판업,응용 소프트웨어 개발 및 공급업,문화·공연·예술,포털 및 기타 인터넷 정보매개 서비스업"
한국주택금융공사,"공기업·공공기관,그 외 기타 분류 안된 금융업,그 외 기타 금융 지원 서비스업,콜센터·아웃소싱·기타"
KP에너지,
하나SK카드,
BSK세무법인,
현대모비스,"그 외 자동차용 신품 부품 제조업,자동차용 전용 신품 부품 판매업,물류·운송·배송,그 외 기타 전자부품 제조업,무역·상사,자동차·조선·철강·항공,정비·A/S·카센터"
CJ대한통운,"물류·운송·배송,도로 화물 운송업,건설·시공·토목·조경"
한글과컴퓨터,"광고 대행업,컴퓨터 제조업,네트워크·통신서비스,응용 소프트웨어 개발 및 공급업,컴퓨터·하드웨어·장비,광고·홍보·전시,전자상거래 소매업"
올림푸스,"포장 공사업,제약·보건·바이오"
기업은행,"국내은행,노동조합,콜센터·아웃소싱·기타"
온라인팜,"쇼핑몰·오픈마켓·소셜커머스,의약품, 의료용품 및 화장품 도매업,의약품 도매업,전자상거래 소매 중개업,백화점·유통·도소매,데이터베이스 및 온라인정보 제공업,세제, 화장품 및 광택제 제조업,생활화학·화장품"
CJ CGV,영화관 운영업
대한마리나산업진흥회,
코웰옵틱일렉트로닉스,
창성CEM철도사업,
한국가스기술공사,기타 토목시설물 건설업
NHN엔터테인먼트,
현대하이스코,
KGC한국인삼공사,
한국무역협회,"광고 대행업,협회·단체,그 외 기타 협회 및 단체,기타 기술 시험, 검사 및 분석업,화장품 및 화장용품 도매업,시설관리·보안·경비"
LS산전,"금속·재료·자재,전지 및 케이블 도매업,전기·전자·제어,산업처리공정 제어장비 제조업,백화점·유통·도소매"
대한제강,제강업
세방그룹,물류·운송·배송
한국은행,중앙은행
충남대학교 병원,"종합 병원,"
우정유빅스엔지니어링종합건축사사무소,
태한이엔씨,
삼성중공업,"강선 건조업,자동차·조선·철강·항공,기계 및 장비 중개업,,음식료·외식·프랜차이즈"
전략물자관리원,그 외 기타 분류 안된 사업지원 서비스업
현대하이카,손해 사정업
현대엔지니어링,"건설·시공·토목·조경,건물 및 토목 엔지니어링 서비스업,육상 금속 골조 구조재 제조업,기계·기계설비,그 외 기타 일반목적용 기계 제조업"
이영산업기계,"자동차·조선·철강·항공,선박 구성 부분품 제조업"
SK 하이닉스,"발광 다이오드 제조업,기타 반도체소자 제조업,,건축·설비·환경,반도체·디스플레이·광학,광고·홍보·전시"
덕성여자대학교,",학교(초·중·고·대학·특수)"
안국약품,"완제 의약품 제조업,"
KLA-Tencor,반도체·디스플레이·광학
태평양제약,
KG모빌리언스,데이터베이스 및 온라인정보 제공업
동화세상 에듀코,"온라인 교육 학원,학원·어학원·교육원,학습지·방문교육"
효성화학,"기초 화학물질 제조업,화학섬유 제조업"
풀무원 이씨엠디,기관 구내식당업
한양,"토목시설물 건설업,,그 외 기타 건축자재 도매업"
국립공원관리공단,
SK케미칼,"지주회사,합성수지 및 기타 플라스틱 물질 제조업"
서울대 의예과,
아트라스BX,"축전지 제조업,스포츠 클럽 운영업"
한국신용보증기금,
케이디씨,"전기·전자·제어,백화점·유통·도소매,자동차 엔진용 신품 부품 제조업,기타 플라스틱제품 제조업,그 외 기타 건축자재 도매업,비주거용 부동산 관리업,"
S-OIL,"원유 정제처리업,윤활유 및 그리스 제조업,백화점·유통·도소매"
사회복지공동모금회,"협회·단체,그 외 기타 분류 안된 전문, 과학 및 기술 서비스업,공기업·공공기관,"
우성산업개발,",유리 및 창호 공사업"
아트박스,"사무 및 회화용품 제조업,,정비·A/S·카센터,백화점·유통·도소매,방송 프로그램 제작업"
수협중앙회,"신용조합,은행·금융,건축물 일반 청소업,음ㆍ식료품 및 담배 중개업,,신선, 냉동 및 기타 수산물 도매업"
유니클로 자소서,
SK,"화학·에너지·환경,자동차 임대업,상품 종합 도매업,제약·보건·바이오,기타 무선 통신장비 제조업,렌탈·임대·리스,포털·컨텐츠·커뮤니티,네트워크·통신서비스"
지역농협,"은행·금융,백화점·유통·도소매,물류·운송·배송"
대전광역시 시설관리공단,하수 처리업
SK엔카,
지식재산교육,"협회·단체,접착제 및 젤라틴 제조업,기타 전문 서비스업,산업 단체"
웹젠,게임·애니메이션
OCI스페셜티,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
GNI개나리벽지,
약손명가,"뷰티·미용,,피부 미용업"
코레일관광개발,"호텔·여행·항공,여행사업"
지원 : 지상직,
조선내화,정형 내화 요업제품 제조업
하나무역,"전구 및 램프 제조업,무역·상사,화장품 및 화장용품 도매업,전자상거래 소매 중개업,생활용품·소비재·기타,신발 도매업,주형 및 금형 제조업,물질 검사, 측정 및 분석기구 제조업,육류 도매업"
CJ푸드빌,서양식 음식점업
뷰웍스,그 외 기타 의료용 기기 제조업
셀트리온제약,완제 의약품 제조업
SKC솔믹스,그 외 기타 전자부품 제조업
중외메디칼,"완제 의약품 제조업,화학·에너지·환경"
삼표기초소재,
프레이져스위츠,
한국항공우주연구원,기타 공학 연구개발업
건국대학교,"학원·어학원·교육원,학교(초·중·고·대학·특수),,기타 전문 서비스업"
윌로펌프,"액체 펌프 제조업,경영 컨설팅업,그 외 기타 기계 및 장비 도매업,그 외 기타 금속가공업,정비·A/S·카센터,전지 및 케이블 도매업"
